FID,country_name,site_name,borehole_name,permafrost_zone,longitude,latitude,elevation,depth,geom_ref,data_start,data_end,responsible_person,responsible_person_name,id_orga
tsp.1605,Russia,Tyumen,Ishim,No permafrost,69.5167,56.1333,82.25,3.2,POINT (69.5167007 56.1333008),1931,1990,164,NSIDC User Services,81
tsp.1606,Russia,Yamal-Nenets,Tarko-Sale,Discontinuous,77.8167,64.9167,23.72,3.2,POINT (77.8167038 64.9167023),1962,1990,164,NSIDC User Services,81
tsp.1607,Russia,Khanty-Mansiy,Khanty-Mansiisk,,69.0667,60.9667,29.267,3.2,POINT (69.0667038 60.9667015),1961,1990,164,NSIDC User Services,81
tsp.1608,Russia,Khanty-Mansiy,Ugut,Isolated patches,74.0167,60.5,69.612,3.2,POINT (74.0167007 60.5),1959,1961,164,NSIDC User Services,81
tsp.1609,Russia,Tyumen,Tobolsk,,68.1833,58.15,40,3.2,POINT (68.1832962 58.1500015),1931,1957,164,NSIDC User Services,81
tsp.1610,Russia,Omsk,Russkaya Polyana,No permafrost,73.8333,53.8333,114.83,3.2,POINT (73.8332977 53.8333015),1955,1990,164,NSIDC User Services,81
tsp.1611,Russia,Nenets,Kotkino,Sporadic,51.2,67.0167,30.051,3.2,POINT (51.2000008 67.0167007),1960,1990,164,NSIDC User Services,81
tsp.1612,Russia,Amur,Skovorodino,Sporadic,123.9667,54,394.41,3.2,POINT (123.9666977 54),1952,1987,164,NSIDC User Services,81
tsp.1613,Russia,Arkhangel\'sk,Arkhangelsk Solombala,No permafrost,40.5,64.5833,1,3.2,POINT (40.5 64.5832977),1931,1964,164,NSIDC User Services,81
tsp.1614,Russia,Vorkuta,Ust-Usa,No permafrost,56.9167,65.9667,54.486,3.2,POINT (56.9166985 65.9666977),1954,1990,164,NSIDC User Services,81
tsp.1615,Russia,Bashkortostan,Chishmy,,55.3833,54.5667,95.094,3.2,POINT (55.3833008 54.5667),1930,1990,164,NSIDC User Services,81
tsp.1616,Russia,Bashkortostan,Sterlitamak,No permafrost,55.9833,53.6167,126.81,3.2,POINT (55.9832993 53.6166992),1933,1990,164,NSIDC User Services,81
tsp.1617,Russia,Krasnoyarsk,Bogotol,No permafrost,89.5833,56.2333,280.71,3.2,POINT (89.5832977 56.2332993),1929,1990,164,NSIDC User Services,81
tsp.1618,Russia,Krasnoyarsk,Kacha,,92.2,56.1167,474.56,3.2,POINT (92.1999969 56.1166992),1930,1990,164,NSIDC User Services,81
tsp.1619,Russia,Tomsk,Parabel,,81.5,58.7,54.7,3.2,POINT (81.5 58.7000008),1928,1990,164,NSIDC User Services,81
tsp.1620,Russia,Novosibirsk,Kupino,No permafrost,77.2833,54.3667,117,3.2,POINT (77.2833023 54.3666992),1944,1990,164,NSIDC User Services,81
tsp.1621,Russia,Altay,Biisk zonalnaya,No permafrost,84.95,52.6833,229.71,3.2,POINT (84.9499969 52.6833),1929,1990,164,NSIDC User Services,81
tsp.1622,Russia,Altay,Kamen-na-Obi,No permafrost,81.3333,53.8,118.79,3.2,POINT (81.3332977 53.7999992),1928,1990,164,NSIDC User Services,81
tsp.1623,Russia,Amur,Svobodnyi,No permafrost,128.116,51.45,192.42,3.2,POINT (128.1159973 51.4500008),1939,1990,164,NSIDC User Services,81
tsp.1624,Russia,Amur,Shimanovskaya,No permafrost,127.65,51.9833,277.38,3.2,POINT (127.6500015 51.9832993),1935,1990,164,NSIDC User Services,81
tsp.1625,Russia,Arkhangel\'sk,Arkhangelsk expfield,,40.5,64.5833,26.177,3.2,POINT (40.5 64.5832977),1927,1990,164,NSIDC User Services,81
tsp.1626,Russia,Arkhangel\'sk,Mudyug isl,No permafrost,40.2833,64.85,207.68,3.2,POINT (40.2832985 64.8499985),1928,1961,164,NSIDC User Services,81
tsp.1627,Russia,Arkhangel\'sk,Kargopol,No permafrost,38.95,61.5,1,3.2,POINT (38.9500008 61.5),1914,1990,164,NSIDC User Services,81
tsp.1628,Russia,Yevrey,Birobidzhan agrexpst,,132.8833,48.7,73,3.2,POINT (132.8833008 48.7000008),1917,1965,164,NSIDC User Services,81
tsp.1629,Russia,Yevrey,Ekaterino-Nikolskaya,No permafrost,130.9667,47.7333,72.854,3.2,POINT (130.9667053 47.7332993),1939,1957,164,NSIDC User Services,81
tsp.1630,Russia,Amur,Norsk (Norskii sklad),Isolated patches,129.9167,52.35,118.73,3.2,POINT (129.9167023 52.3499985),1935,1965,164,NSIDC User Services,81
tsp.1631,Russia,Sverdlovsk,Ivdel,No permafrost,60.4333,60.6833,78.531,3.2,POINT (60.4333 60.6833),1938,1990,164,NSIDC User Services,81
tsp.1632,Russia,Sverdlovsk,Vysokaya Dubrava,,61.0667,56.7333,279.52,3.2,POINT (61.0667 56.7332993),1938,1990,164,NSIDC User Services,81
tsp.1633,Russia,Kurgan,Kurgan Voronovka,,65.4,55.4667,68,3.2,POINT (65.4000015 55.4667015),1943,1990,164,NSIDC User Services,81
tsp.1634,Russia,Chelyabinsk,Bredy,,60.35,52.4333,315.28,3.2,POINT (60.3499985 52.4333),1931,1990,164,NSIDC User Services,81
tsp.1635,Russia,Perm,Berezniki,No permafrost,56.6,59.3833,129,3.2,POINT (56.5999985 59.3833008),1931,1965,164,NSIDC User Services,81
tsp.1636,Russia,Perm,Kudymkar,,54.65,58.9833,135.17,3.2,POINT (54.6500015 58.9832993),1925,1988,164,NSIDC User Services,81
tsp.1637,Russia,Perm,Nozhovka,No permafrost,54.75,57.0833,156.07,3.2,POINT (54.75 57.0833015),1926,1990,164,NSIDC User Services,81
tsp.1638,Russia,Khanty-Mansiy,Saranpaul,Discontinuous,60.8833,64.2833,187.39,3.2,POINT (60.8833008 64.2833023),1932,1990,164,NSIDC User Services,81
tsp.1639,Russia,Khanty-Mansiy,Berezovo,Sporadic,65.05,63.9333,18.452,3.2,POINT (65.0500031 63.9333),1936,1990,164,NSIDC User Services,81
tsp.1640,Russia,Vologda,Velikii Ustyug,,46.3,60.7667,59.045,3.2,POINT (46.2999992 60.7667007),1931,1990,164,NSIDC User Services,81
tsp.1641,Russia,Krasnoyarsk,Tura,Continuous,100.0667,64.1667,471.37,3.2,POINT (100.0667038 64.1667023),1952,1990,164,NSIDC User Services,81
tsp.1642,Russia,Krasnoyarsk,Yartsevo,Isolated patches,90.2333,60.25,52.411,3.2,POINT (90.2332993 60.25),1952,1990,164,NSIDC User Services,81
tsp.1643,Russia,Khanty-Mansiy,Leushi,No permafrost,65.7833,59.6167,53.185,3.2,POINT (65.7833023 59.6166992),1929,1990,164,NSIDC User Services,81
tsp.1644,Russia,Omsk,Kalachinsk,No permafrost,74.5833,55.0333,103.55,3.2,POINT (74.5832977 55.0332985),1950,1990,164,NSIDC User Services,81
tsp.1645,Russia,Vorkuta,Eletskaya,Sporadic,64.1667,67.1667,151,3.2,POINT (64.1667023 67.1667023),1959,1990,164,NSIDC User Services,81
tsp.1646,Russia,Tyumen,Vikulovo,No permafrost,70.6167,56.8167,69,3.2,POINT (70.6166992 56.8167),1936,1990,164,NSIDC User Services,81
tsp.1647,Russia,Tyumen,Tyumen,No permafrost,65.5,57.15,81.1,3.2,POINT (65.5 57.1500015),1936,1990,164,NSIDC User Services,81
tsp.1648,Russia,Vologda,Vologda Molochnoe,No permafrost,39.8667,59.2833,117.25,3.2,POINT (39.8666992 59.2832985),1923,1990,164,NSIDC User Services,81
tsp.1649,Russia,Omsk,Isil-Kul,No permafrost,71.2667,54.9,124,3.2,POINT (71.2667007 54.9000015),1930,1990,164,NSIDC User Services,81
tsp.1650,Russia,Omsk,Omsk,,73.4,54.9333,88.612,3.2,POINT (73.4000015 54.9333),1933,1990,164,NSIDC User Services,81
tsp.1651,Russia,Amur,Erofei Pavlovich,Sporadic,121.9333,53.9667,473.9,3.2,POINT (121.9332962 53.9667015),1924,1985,164,NSIDC User Services,81
tsp.1652,Russia,Krasnoyarsk,Turukhansk,Discontinuous,87.95,65.7833,13.625,3.2,POINT (87.9499969 65.7833023),1953,1990,164,NSIDC User Services,81
tsp.1653,Russia,Irkutsk,Irkutsk obs(grass),Sporadic,104.3,52.2833,436,3.2,POINT (104.3000031 52.2832985),1898,1990,164,NSIDC User Services,81
